cod_distr;nome_distr;latitude;longitude;total_centros_saude_idosos;atendimentos_totais_ano
80058;Distrito Sintético 58;-23.478908;-46.607107;4;31737
80059;Distrito Sintético 59;-23.524715;-46.604151;5;33163
80060;Distrito Sintético 60;-23.508209;-46.605417;3;42251
80061;Distrito Sintético 61;-23.478683;-46.665014;7;42481
80062;Distrito Sintético 62;-23.554701;-46.573331;1;27599
80063;Distrito Sintético 63;-23.621148;-46.625605;5;27322
80064;Distrito Sintético 64;-23.576604;-46.595009;3;9891
80065;Distrito Sintético 65;-23.502355;-46.566296;10;7639
80066;Distrito Sintético 66;-23.622184;-46.599536;10;15901
80067;Distrito Sintético 67;-23.548323;-46.615674;7;36077
80068;Distrito Sintético 68;-23.537338;-46.522360;2;17236
80069;Distrito Sintético 69;-23.565780;-46.617815;6;40196
80070;Distrito Sintético 70;-23.513818;-46.644798;5;5739
80071;Distrito Sintético 71;-23.520961;-46.624402;5;37393
80072;Distrito Sintético 72;-23.433930;-46.555862;7;8818
80073;Distrito Sintético 73;-23.519002;-46.624064;9;48076
80074;Distrito Sintético 74;-23.580470;-46.604031;4;6771
80075;Distrito Sintético 75;-23.578090;-46.570213;8;21182
80076;Distrito Sintético 76;-23.591579;-46.655643;6;23293
80077;Distrito Sintético 77;-23.502386;-46.716328;7;8139
80078;Distrito Sintético 78;-23.578342;-46.615029;1;36969
80079;Distrito Sintético 79;-23.553513;-46.618513;10;35157
80080;Distrito Sintético 80;-23.512535;-46.660401;5;8892
80081;Distrito Sintético 81;-23.586173;-46.586446;11;35880
80082;Distrito Sintético 82;-23.564683;-46.599622;7;38821
80083;Distrito Sintético 83;-23.642064;-46.679750;6;30034
80084;Distrito Sintético 84;-23.604124;-46.604089;5;21926
80085;Distrito Sintético 85;-23.578387;-46.639805;10;14960
80086;Distrito Sintético 86;-23.529212;-46.704151;6;27269
80087;Distrito Sintético 87;-23.490325;-46.607352;10;20127
80088;Distrito Sintético 88;-23.550923;-46.632261;4;21605
80089;Distrito Sintético 89;-23.536932;-46.667264;9;38020
80090;Distrito Sintético 90;-23.541602;-46.603853;7;42211
80091;Distrito Sintético 91;-23.495763;-46.605595;6;25205
80092;Distrito Sintético 92;-23.505332;-46.658877;7;40817
80093;Distrito Sintético 93;-23.536315;-46.609982;1;5328
80094;Distrito Sintético 94;-23.600547;-46.579247;3;16607
80095;Distrito Sintético 95;-23.504831;-46.665633;1;48603
80096;Distrito Sintético 96;-23.530948;-46.610955;10;34049
