cod_distr;nome_distr;ano;populacao_total;populacao_idosa;taxa_envelhecimento_perc;leitos_por_mil_hab
80051;Distrito Sintético 51;2010;86372;17375;20.12;2.45
80052;Distrito Sintético 52;2010;85040;19808;23.29;2.46
80053;Distrito Sintético 53;2010;86373;14646;16.96;1.23
80054;Distrito Sintético 54;2010;86073;20542;23.87;4.17
80055;Distrito Sintético 55;2010;90470;16456;18.19;4.05
80056;Distrito Sintético 56;2010;75724;15674;20.7;1.7
80057;Distrito Sintético 57;2010;79641;14366;18.04;2.87
80058;Distrito Sintético 58;2010;71530;12128;16.96;1.77
80059;Distrito Sintético 59;2010;79637;13277;16.67;1.54
80060;Distrito Sintético 60;2010;69518;12519;18.01;4.33
80061;Distrito Sintético 61;2010;74974;16304;21.75;0.53
80062;Distrito Sintético 62;2010;80777;13024;16.12;1.53
80063;Distrito Sintético 63;2010;76192;13785;18.09;2.08
80064;Distrito Sintético 64;2010;81402;11840;14.55;2.39
80065;Distrito Sintético 65;2010;73725;18926;25.67;4.75
80066;Distrito Sintético 66;2010;88449;14671;16.59;2.36
80067;Distrito Sintético 67;2010;76998;14348;18.63;0.56
80068;Distrito Sintético 68;2010;73711;15157;20.56;3.81
80069;Distrito Sintético 69;2010;74896;17880;23.87;4.95
80070;Distrito Sintético 70;2010;79399;21870;27.54;2.71
80071;Distrito Sintético 71;2010;83836;14012;16.71;3.94
80072;Distrito Sintético 72;2010;86584;16546;19.11;4.69
80073;Distrito Sintético 73;2010;77145;12295;15.94;3.36
80074;Distrito Sintético 74;2010;83508;21110;25.28;1.96
80075;Distrito Sintético 75;2010;81671;16066;19.67;2.56
80076;Distrito Sintético 76;2010;87787;16750;19.08;1.6
80077;Distrito Sintético 77;2010;70157;11152;15.9;2.48
80078;Distrito Sintético 78;2010;76679;11818;15.41;2.24
80079;Distrito Sintético 79;2010;72765;17413;23.93;4.89
80080;Distrito Sintético 80;2010;81611;11862;14.53;1.66
80081;Distrito Sintético 81;2010;84850;16659;19.63;2.97
80082;Distrito Sintético 82;2010;83194;15623;18.78;1.54
80083;Distrito Sintético 83;2010;93632;14493;15.48;3.1
80084;Distrito Sintético 84;2010;77450;13889;17.93;1.73
80085;Distrito Sintético 85;2010;78455;15431;19.67;4.43
80086;Distrito Sintético 86;2010;85295;13048;15.3;1.54
80087;Distrito Sintético 87;2010;74648;13745;18.41;2.75
80088;Distrito Sintético 88;2010;80113;16680;20.82;3.99
80089;Distrito Sintético 89;2010;80469;12256;15.23;3.27
80090;Distrito Sintético 90;2010;86763;16941;19.53;1.9
80091;Distrito Sintético 91;2010;70284;17498;24.9;4.08
80092;Distrito Sintético 92;2010;87627;15512;17.7;1.62
80093;Distrito Sintético 93;2010;85227;14216;16.68;4.26
80094;Distrito Sintético 94;2010;77123;12262;15.9;0.63
80095;Distrito Sintético 95;2010;84470;14859;17.59;1.56
80096;Distrito Sintético 96;2010;82368;16995;20.63;2.88
80001;Distrito Sintético 1;2011;88050;18351;20.84;2.62
80002;Distrito Sintético 2;2011;79006;13658;17.29;3.02
80003;Distrito Sintético 3;2011;93511;13737;14.69;1.23
80004;Distrito Sintético 4;2011;90770;17214;18.96;3.26
80005;Distrito Sintético 5;2011;91512;18451;20.16;1.58
80006;Distrito Sintético 6;2011;76379;10054;13.16;4.01
80007;Distrito Sintético 7;2011;76388;16274;21.3;3.74
80008;Distrito Sintético 8;2011;81765;15284;18.69;2.58
80009;Distrito Sintético 9;2011;73300;15867;21.65;2.81
80010;Distrito Sintético 10;2011;87134;18636;21.39;3.14
80011;Distrito Sintético 11;2011;85320;14033;16.45;4.49
80012;Distrito Sintético 12;2011;80129;12712;15.86;3.89
80013;Distrito Sintético 13;2011;79124;11174;14.12;2.91
80014;Distrito Sintético 14;2011;74188;13906;18.74;1.77
80015;Distrito Sintético 15;2011;80051;17472;21.83;4.06
80016;Distrito Sintético 16;2011;78227;17401;22.24;3.64
80017;Distrito Sintético 17;2011;90691;16201;17.86;2.9
80018;Distrito Sintético 18;2011;83456;12519;15.0;4.0
80019;Distrito Sintético 19;2011;79079;12225;15.46;4.47
80020;Distrito Sintético 20;2011;74017;18505;25.0;2.15
80021;Distrito Sintético 21;2011;84413;11970;14.18;3.53
80022;Distrito Sintético 22;2011;85798;18013;20.99;2.76
80023;Distrito Sintético 23;2011;85261;13749;16.13;1.32
80024;Distrito Sintético 24;2011;78280;12491;15.96;2.95
80025;Distrito Sintético 25;2011;88822;15706;17.68;2.01
80026;Distrito Sintético 26;2011;86219;14030;16.27;0.81
80027;Distrito Sintético 27;2011;85800;15695;18.29;3.92
80028;Distrito Sintético 28;2011;78945;18129;22.96;0.72
80029;Distrito Sintético 29;2011;78440;13842;17.65;1.79
80030;Distrito Sintético 30;2011;83513;14648;17.54;0.91
80031;Distrito Sintético 31;2011;74051;12241;16.53;1.7
80032;Distrito Sintético 32;2011;74650;13880;18.59;2.99
80033;Distrito Sintético 33;2011;82414;14310;17.36;4.32
80034;Distrito Sintético 34;2011;78428;17856;22.77;2.12
80035;Distrito Sintético 35;2011;66719;14101;21.13;0.92
80036;Distrito Sintético 36;2011;80184;12471;15.55;4.57
80037;Distrito Sintético 37;2011;77260;13931;18.03;2.08
80038;Distrito Sintético 38;2011;77002;15379;19.97;4.35
80039;Distrito Sintético 39;2011;80329;16763;20.87;1.68
80040;Distrito Sintético 40;2011;89863;19599;21.81;4.63
80041;Distrito Sintético 41;2011;81545;21735;26.65;4.22
80042;Distrito Sintético 42;2011;84847;16572;19.53;1.35
80043;Distrito Sintético 43;2011;82939;15524;18.72;4.26
80044;Distrito Sintético 44;2011;87594;18034;20.59;4.69
80045;Distrito Sintético 45;2011;77544;15479;19.96;2.83
80046;Distrito Sintético 46;2011;85298;17141;20.1;0.57
80047;Distrito Sintético 47;2011;63473;16262;25.62;3.26
80048;Distrito Sintético 48;2011;80782;15466;19.15;3.77
80049;Distrito Sintético 49;2011;85119;18257;21.45;3.77
80050;Distrito Sintético 50;2011;84869;16493;19.43;2.97
80051;Distrito Sintético 51;2011;87904;12751;14.51;4.4
80052;Distrito Sintético 52;2011;84960;12031;14.16;2.96
80053;Distrito Sintético 53;2011;98435;14983;15.22;1.76
80054;Distrito Sintético 54;2011;71661;16838;23.5;4.05
80055;Distrito Sintético 55;2011;86562;11573;13.37;3.5
80056;Distrito Sintético 56;2011;90224;17879;19.82;2.13
80057;Distrito Sintético 57;2011;74670;15555;20.83;1.69
80058;Distrito Sintético 58;2011;84155;13841;16.45;1.11
80059;Distrito Sintético 59;2011;82410;17461;21.19;4.1
80060;Distrito Sintético 60;2011;73425;11157;15.2;2.35
80061;Distrito Sintético 61;2011;79625;16605;20.85;2.93
80062;Distrito Sintético 62;2011;90808;14462;15.93;0.7
80063;Distrito Sintético 63;2011;75506;19406;25.7;2.42
80064;Distrito Sintético 64;2011;74252;16408;22.1;0.81
80065;Distrito Sintético 65;2011;87468;13408;15.33;2.04
80066;Distrito Sintético 66;2011;71500;14335;20.05;2.25
80067;Distrito Sintético 67;2011;88008;19071;21.67;3.58
80068;Distrito Sintético 68;2011;92271;22238;24.1;4.87
80069;Distrito Sintético 69;2011;81577;13733;16.83;4.37
80070;Distrito Sintético 70;2011;89522;16417;18.34;1.14
80071;Distrito Sintético 71;2011;86420;18397;21.29;3.58
80072;Distrito Sintético 72;2011;82928;14422;17.39;2.45
80073;Distrito Sintético 73;2011;70834;13700;19.34;1.33
80074;Distrito Sintético 74;2011;86121;19987;23.21;2.43
80075;Distrito Sintético 75;2011;77062;18034;23.4;2.14
80076;Distrito Sintético 76;2011;81557;15107;18.52;1.05
80077;Distrito Sintético 77;2011;81783;17955;21.95;3.49
80078;Distrito Sintético 78;2011;72411;10830;14.96;3.46
80079;Distrito Sintético 79;2011;80024;17924;22.4;1.08
80080;Distrito Sintético 80;2011;70005;11774;16.82;4.15
80081;Distrito Sintético 81;2011;81926;18167;22.17;1.53
80082;Distrito Sintético 82;2011;97458;15124;15.52;3.47
80083;Distrito Sintético 83;2011;78438;17253;22.0;4.33
80084;Distrito Sintético 84;2011;91215;16885;18.51;4.89
80085;Distrito Sintético 85;2011;77023;10377;13.47;1.09
80086;Distrito Sintético 86;2011;84140;13057;15.52;1.76
80087;Distrito Sintético 87;2011;80670;15555;19.28;3.6
80088;Distrito Sintético 88;2011;67287;10093;15.0;1.83
80089;Distrito Sintético 89;2011;78898;14200;18.0;4.68
80090;Distrito Sintético 90;2011;80638;17070;21.17;3.57
80091;Distrito Sintético 91;2011;82445;16150;19.59;2.6
80092;Distrito Sintético 92;2011;85013;16377;19.26;4.5
80093;Distrito Sintético 93;2011;77330;15798;20.43;3.11
80094;Distrito Sintético 94;2011;72528;12309;16.97;1.69
80095;Distrito Sintético 95;2011;83720;14670;17.52;4.44
80096;Distrito Sintético 96;2011;90154;17332;19.22;1.75
80001;Distrito Sintético 1;2012;81038;15856;19.57;0.94
80002;Distrito Sintético 2;2012;84488;15558;18.41;1.51
80003;Distrito Sintético 3;2012;82133;13575;16.53;1.52
80004;Distrito Sintético 4;2012;76710;15032;19.6;0.75
80005;Distrito Sintético 5;2012;75059;18718;24.94;3.68
80006;Distrito Sintético 6;2012;80497;13291;16.51;1.79
80007;Distrito Sintético 7;2012;74887;14111;18.84;1.81
80008;Distrito Sintético 8;2012;93551;13668;14.61;3.8
80009;Distrito Sintético 9;2012;83134;14510;17.45;0.51
80010;Distrito Sintético 10;2012;79800;11691;14.65;3.76
80011;Distrito Sintético 11;2012;86800;12774;14.72;2.7
80012;Distrito Sintético 12;2012;74155;11827;15.95;0.52
80013;Distrito Sintético 13;2012;79801;14987;18.78;3.83
80014;Distrito Sintético 14;2012;76746;13321;17.36;3.58
80015;Distrito Sintético 15;2012;81095;14493;17.87;2.24
80016;Distrito Sintético 16;2012;79898;13088;16.38;1.19
80017;Distrito Sintético 17;2012;62669;16758;26.74;2.78
80018;Distrito Sintético 18;2012;72422;12825;17.71;4.63
80019;Distrito Sintético 19;2012;86750;19078;21.99;0.75
80020;Distrito Sintético 20;2012;67260;13017;19.35;3.77
80021;Distrito Sintético 21;2012;83696;11008;13.15;4.61
80022;Distrito Sintético 22;2012;65733;12076;18.37;3.91
80023;Distrito Sintético 23;2012;84502;12003;14.2;0.98
80024;Distrito Sintético 24;2012;87034;15533;17.85;2.43
80025;Distrito Sintético 25;2012;80260;15776;19.66;1.83
80026;Distrito Sintético 26;2012;83182;15413;18.53;0.74
80027;Distrito Sintético 27;2012;82135;17483;21.29;3.94
80028;Distrito Sintético 28;2012;90108;13549;15.04;3.99
80029;Distrito Sintético 29;2012;78969;15811;20.02;1.15
80030;Distrito Sintético 30;2012;70229;15349;21.86;2.11
80031;Distrito Sintético 31;2012;73767;14482;19.63;3.89
80032;Distrito Sintético 32;2012;86936;17981;20.68;2.29
80033;Distrito Sintético 33;2012;74145;11142;15.03;3.3
80034;Distrito Sintético 34;2012;72534;16574;22.85;3.32
80035;Distrito Sintético 35;2012;73411;12847;17.5;2.79
80036;Distrito Sintético 36;2012;79828;16900;21.17;0.57
80037;Distrito Sintético 37;2012;76546;14370;18.77;3.98
80038;Distrito Sintético 38;2012;74029;13489;18.22;2.91
80039;Distrito Sintético 39;2012;97144;23353;24.04;4.3
80040;Distrito Sintético 40;2012;76887;10612;13.8;0.94
80041;Distrito Sintético 41;2012;78640;20329;25.85;2.86
80042;Distrito Sintético 42;2012;87683;17150;19.56;2.93
80043;Distrito Sintético 43;2012;79378;12664;15.95;3.22
80044;Distrito Sintético 44;2012;89771;12173;13.56;2.24
80045;Distrito Sintético 45;2012;80773;10856;13.44;4.72
80046;Distrito Sintético 46;2012;88904;13669;15.38;1.98
80047;Distrito Sintético 47;2012;80958;14052;17.36;0.83
80048;Distrito Sintético 48;2012;70740;12647;17.88;0.81
80049;Distrito Sintético 49;2012;78560;16978;21.61;1.75
80050;Distrito Sintético 50;2012;78501;14484;18.45;3.72
80051;Distrito Sintético 51;2012;80204;12541;15.64;4.84
80052;Distrito Sintético 52;2012;73138;10339;14.14;3.19
80053;Distrito Sintético 53;2012;91578;21881;23.89;4.96
80054;Distrito Sintético 54;2012;86417;16699;19.32;0.77
80055;Distrito Sintético 55;2012;77869;17347;22.28;3.95
80056;Distrito Sintético 56;2012;87925;16252;18.48;0.87
80057;Distrito Sintético 57;2012;79442;17142;21.58;4.04
80058;Distrito Sintético 58;2012;77050;18858;24.48;1.32
80059;Distrito Sintético 59;2012;95723;18999;19.85;3.79
80060;Distrito Sintético 60;2012;80840;12441;15.39;2.63
80061;Distrito Sintético 61;2012;78814;16483;20.91;1.21
80062;Distrito Sintético 62;2012;88436;14814;16.75;3.98
80063;Distrito Sintético 63;2012;91388;12303;13.46;1.91
80064;Distrito Sintético 64;2012;86063;13788;16.02;1.15
80065;Distrito Sintético 65;2012;76298;17919;23.49;0.85
80066;Distrito Sintético 66;2012;87818;18940;21.57;2.35
80067;Distrito Sintético 67;2012;76097;11352;14.92;2.5
80068;Distrito Sintético 68;2012;67771;11834;17.46;4.33
80069;Distrito Sintético 69;2012;86950;16962;19.51;1.45
80070;Distrito Sintético 70;2012;85248;19226;22.55;4.52
80071;Distrito Sintético 71;2012;77387;11907;15.39;3.11
80072;Distrito Sintético 72;2012;86765;14932;17.21;2.67
80073;Distrito Sintético 73;2012;85867;18719;21.8;2.43
80074;Distrito Sintético 74;2012;83541;9989;11.96;2.54
80075;Distrito Sintético 75;2012;74203;15042;20.27;3.69
80076;Distrito Sintético 76;2012;91523;15502;16.94;3.13
80077;Distrito Sintético 77;2012;91032;16204;17.8;3.58
80078;Distrito Sintético 78;2012;81833;17557;21.45;3.0
80079;Distrito Sintético 79;2012;82618;17485;21.16;1.51
80080;Distrito Sintético 80;2012;83457;12573;15.07;3.01
80081;Distrito Sintético 81;2012;90851;14832;16.33;4.21
80082;Distrito Sintético 82;2012;77445;12363;15.96;3.47
80083;Distrito Sintético 83;2012;92655;19696;21.26;2.07
80084;Distrito Sintético 84;2012;90162;17324;19.21;3.15
80085;Distrito Sintético 85;2012;80097;16209;20.24;2.5
80086;Distrito Sintético 86;2012;86235;19287;22.37;0.99
80087;Distrito Sintético 87;2012;86858;14159;16.3;4.16
80088;Distrito Sintético 88;2012;75752;12463;16.45;0.86
80089;Distrito Sintético 89;2012;82201;15346;18.67;2.85
80090;Distrito Sintético 90;2012;68970;10892;15.79;4.58
80091;Distrito Sintético 91;2012;78203;16337;20.89;3.63
80092;Distrito Sintético 92;2012;83340;15917;19.1;1.77
80093;Distrito Sintético 93;2012;84062;15337;18.24;2.83
80094;Distrito Sintético 94;2012;85123;11418;13.41;1.01
80095;Distrito Sintético 95;2012;90231;17981;19.93;3.79
80096;Distrito Sintético 96;2012;82781;14822;17.91;0.58
80001;Distrito Sintético 1;2013;90443;17855;19.74;2.45
80002;Distrito Sintético 2;2013;76138;12033;15.8;1.48
80003;Distrito Sintético 3;2013;91498;13823;15.11;3.33
80004;Distrito Sintético 4;2013;75532;16310;21.59;4.27
80005;Distrito Sintético 5;2013;73843;13887;18.81;1.68
80006;Distrito Sintético 6;2013;77628;11669;15.03;2.5
80007;Distrito Sintético 7;2013;92909;15310;16.48;3.69
80008;Distrito Sintético 8;2013;77648;13808;17.78;3.95
80009;Distrito Sintético 9;2013;81620;16031;19.64;2.49
80010;Distrito Sintético 10;2013;75026;11192;14.92;1.45
80011;Distrito Sintético 11;2013;82588;15767;19.09;4.25
80012;Distrito Sintético 12;2013;93650;22062;23.56;3.86
80013;Distrito Sintético 13;2013;70229;13047;18.58;0.99
80014;Distrito Sintético 14;2013;81201;16275;20.04;2.38
80015;Distrito Sintético 15;2013;78416;19717;25.14;2.02
80016;Distrito Sintético 16;2013;74902;14367;19.18;3.46
80017;Distrito Sintético 17;2013;68124;12373;18.16;3.27
80018;Distrito Sintético 18;2013;80749;11749;14.55;2.3
80019;Distrito Sintético 19;2013;85526;15107;17.66;0.71
80020;Distrito Sintético 20;2013;89425;22200;24.83;3.61
80021;Distrito Sintético 21;2013;83230;17612;21.16;1.1
80022;Distrito Sintético 22;2013;81385;13306;16.35;3.65
80023;Distrito Sintético 23;2013;81688;11365;13.91;3.33
80024;Distrito Sintético 24;2013;70442;13547;19.23;1.29
80025;Distrito Sintético 25;2013;81724;15893;19.45;3.53
80026;Distrito Sintético 26;2013;60096;13042;21.7;1.2
80027;Distrito Sintético 27;2013;78770;15165;19.25;4.22
80028;Distrito Sintético 28;2013;91005;17839;19.6;0.63
80029;Distrito Sintético 29;2013;86260;17612;20.42;1.88
80030;Distrito Sintético 30;2013;84623;14639;17.3;4.98
80031;Distrito Sintético 31;2013;75106;13590;18.09;4.95
80032;Distrito Sintético 32;2013;79591;16064;20.18;1.95
80033;Distrito Sintético 33;2013;72693;7318;10.07;3.28
80034;Distrito Sintético 34;2013;80022;17642;22.05;1.32
80035;Distrito Sintético 35;2013;96107;15571;16.2;4.3
80036;Distrito Sintético 36;2013;91882;14168;15.42;0.9
80037;Distrito Sintético 37;2013;69238;13764;19.88;1.61
80038;Distrito Sintético 38;2013;86985;16463;18.93;4.01
80039;Distrito Sintético 39;2013;82542;17228;20.87;1.76
80040;Distrito Sintético 40;2013;77210;15095;19.55;3.2
80041;Distrito Sintético 41;2013;92279;12406;13.44;3.8
80042;Distrito Sintético 42;2013;85867;12130;14.13;3.76
80043;Distrito Sintético 43;2013;92221;18343;19.89;1.58
80044;Distrito Sintético 44;2013;72809;13516;18.56;4.18
80045;Distrito Sintético 45;2013;88918;14773;16.61;1.79
80046;Distrito Sintético 46;2013;75827;15144;19.97;3.57
80047;Distrito Sintético 47;2013;71383;18986;26.6;1.71
80048;Distrito Sintético 48;2013;74220;14592;19.66;0.87
80049;Distrito Sintético 49;2013;79559;16587;20.85;2.08
80050;Distrito Sintético 50;2013;85432;16900;19.78;1.17
80051;Distrito Sintético 51;2013;82367;11393;13.83;4.33
80052;Distrito Sintético 52;2013;88943;18313;20.59;1.65
80053;Distrito Sintético 53;2013;80648;14997;18.6;4.0
80054;Distrito Sintético 54;2013;79830;19350;24.24;3.81
80055;Distrito Sintético 55;2013;65004;10747;16.53;3.58
80056;Distrito Sintético 56;2013;69686;11033;15.83;1.03
80057;Distrito Sintético 57;2013;83242;16744;20.11;1.49
80058;Distrito Sintético 58;2013;83720;18220;21.76;1.48
80059;Distrito Sintético 59;2013;74301;12943;17.42;4.7
80060;Distrito Sintético 60;2013;73042;14993;20.53;2.05
80061;Distrito Sintético 61;2013;67457;11002;16.31;0.75
80062;Distrito Sintético 62;2013;91304;19074;20.89;4.67
80063;Distrito Sintético 63;2013;79751;9725;12.19;2.22
80064;Distrito Sintético 64;2013;85136;13641;16.02;3.53
80065;Distrito Sintético 65;2013;81306;12230;15.04;4.55
80066;Distrito Sintético 66;2013;84930;12083;14.23;3.15
80067;Distrito Sintético 67;2013;85603;12282;14.35;4.9
80068;Distrito Sintético 68;2013;76643;18018;23.51;2.07
80069;Distrito Sintético 69;2013;67868;18161;26.76;0.77
80070;Distrito Sintético 70;2013;76653;12248;15.98;1.63
80071;Distrito Sintético 71;2013;81487;17031;20.9;3.99
80072;Distrito Sintético 72;2013;82953;14282;17.22;2.12
80073;Distrito Sintético 73;2013;79535;17707;22.26;1.87
80074;Distrito Sintético 74;2013;87338;13419;15.36;5.0
80075;Distrito Sintético 75;2013;73657;9729;13.21;4.01
80076;Distrito Sintético 76;2013;78683;14491;18.42;3.46
80077;Distrito Sintético 77;2013;80665;12531;15.53;1.12
80078;Distrito Sintético 78;2013;88500;19900;22.49;4.96
80079;Distrito Sintético 79;2013;83823;11919;14.22;1.34
80080;Distrito Sintético 80;2013;88739;18710;21.08;3.11
80081;Distrito Sintético 81;2013;81847;14295;17.47;1.19
80082;Distrito Sintético 82;2013;87730;14566;16.6;1.61
80083;Distrito Sintético 83;2013;80902;17440;21.56;4.24
80084;Distrito Sintético 84;2013;75064;14408;19.19;4.87
80085;Distrito Sintético 85;2013;90875;13852;15.24;4.9
80086;Distrito Sintético 86;2013;86141;16133;18.73;2.49
80087;Distrito Sintético 87;2013;77671;12068;15.54;2.39
80088;Distrito Sintético 88;2013;76750;16802;21.89;2.51
80089;Distrito Sintético 89;2013;82192;17573;21.38;3.41
80090;Distrito Sintético 90;2013;83060;15826;19.05;3.42
80091;Distrito Sintético 91;2013;60604;14314;23.62;1.74
80092;Distrito Sintético 92;2013;70702;14550;20.58;4.25
80093;Distrito Sintético 93;2013;67897;16590;24.43;2.28
80094;Distrito Sintético 94;2013;84030;10279;12.23;1.14
80095;Distrito Sintético 95;2013;59733;12194;20.41;2.28
80096;Distrito Sintético 96;2013;79837;17055;21.36;3.26
80001;Distrito Sintético 1;2014;72646;16393;22.57;2.72
80002;Distrito Sintético 2;2014;84279;16900;20.05;4.26
80003;Distrito Sintético 3;2014;83496;24013;28.76;0.71
80004;Distrito Sintético 4;2014;84704;11742;13.86;4.01
80005;Distrito Sintético 5;2014;88543;14887;16.81;1.09
80006;Distrito Sintético 6;2014;83805;17306;20.65;1.28
80007;Distrito Sintético 7;2014;78452;17393;22.17;1.52
80008;Distrito Sintético 8;2014;88892;18847;21.2;0.81
80009;Distrito Sintético 9;2014;72199;13917;19.28;2.57
80010;Distrito Sintético 10;2014;85481;12773;14.94;3.44
80011;Distrito Sintético 11;2014;84667;15367;18.15;3.14
80012;Distrito Sintético 12;2014;81791;19025;23.26;3.71
80013;Distrito Sintético 13;2014;75759;13215;17.44;3.97
80014;Distrito Sintético 14;2014;85551;19552;22.85;3.93
80015;Distrito Sintético 15;2014;85782;19374;22.59;3.86
80016;Distrito Sintético 16;2014;66251;15596;23.54;4.81
80017;Distrito Sintético 17;2014;78014;13826;17.72;0.97
80018;Distrito Sintético 18;2014;95089;18983;19.96;0.77
80019;Distrito Sintético 19;2014;80868;14289;17.67;2.14
80020;Distrito Sintético 20;2014;77078;17221;22.34;1.8
80021;Distrito Sintético 21;2014;70433;12715;18.05;4.37
80022;Distrito Sintético 22;2014;82163;15971;19.44;2.27
80023;Distrito Sintético 23;2014;92002;13206;14.35;3.3
80024;Distrito Sintético 24;2014;81563;13459;16.5;0.93
80025;Distrito Sintético 25;2014;72305;16837;23.29;3.89
80026;Distrito Sintético 26;2014;67419;13494;20.02;4.33
80027;Distrito Sintético 27;2014;84179;14790;17.57;2.67
80028;Distrito Sintético 28;2014;79049;13325;16.86;4.28
80029;Distrito Sintético 29;2014;71664;17277;24.11;3.03
80030;Distrito Sintético 30;2014;88924;14892;16.75;2.92
80031;Distrito Sintético 31;2014;61406;12909;21.02;4.58
80032;Distrito Sintético 32;2014;71053;13108;18.45;1.2
80033;Distrito Sintético 33;2014;82339;16553;20.1;3.99
80034;Distrito Sintético 34;2014;80297;14590;18.17;3.39
80035;Distrito Sintético 35;2014;93520;18705;20.0;3.09
80036;Distrito Sintético 36;2014;76528;13469;17.6;1.38
80037;Distrito Sintético 37;2014;79531;17378;21.85;0.91
80038;Distrito Sintético 38;2014;77143;13021;16.88;1.27
80039;Distrito Sintético 39;2014;78494;16881;21.51;0.92
80040;Distrito Sintético 40;2014;79304;17000;21.44;4.07
80041;Distrito Sintético 41;2014;80022;14048;17.56;4.17
80042;Distrito Sintético 42;2014;84218;13886;16.49;3.28
80043;Distrito Sintético 43;2014;70640;17405;24.64;2.7
80044;Distrito Sintético 44;2014;79782;17734;22.23;2.62
80045;Distrito Sintético 45;2014;83996;20424;24.32;2.85
80046;Distrito Sintético 46;2014;85883;16369;19.06;2.37
80047;Distrito Sintético 47;2014;81782;19515;23.86;1.32
80048;Distrito Sintético 48;2014;83475;19566;23.44;4.52
80049;Distrito Sintético 49;2014;80368;19844;24.69;4.87
80050;Distrito Sintético 50;2014;73603;12458;16.93;3.63
80051;Distrito Sintético 51;2014;73533;13365;18.18;0.91
80052;Distrito Sintético 52;2014;78509;17589;22.4;2.33
80053;Distrito Sintético 53;2014;84225;13036;15.48;2.4
80054;Distrito Sintético 54;2014;78118;14905;19.08;2.94
80055;Distrito Sintético 55;2014;78288;13563;17.32;2.29
80056;Distrito Sintético 56;2014;72524;11292;15.57;4.94
80057;Distrito Sintético 57;2014;96145;14291;14.86;2.24
80058;Distrito Sintético 58;2014;72411;11065;15.28;3.49
80059;Distrito Sintético 59;2014;79632;17159;21.55;3.41
80060;Distrito Sintético 60;2014;85850;12694;14.79;1.78
80061;Distrito Sintético 61;2014;90854;19391;21.34;1.96
80062;Distrito Sintético 62;2014;84997;16302;19.18;3.09
80063;Distrito Sintético 63;2014;79506;10125;12.73;0.52
80064;Distrito Sintético 64;2014;87496;17607;20.12;3.86
