cod_distr;nome_distr;ano;taxa_envelhecimento_perc;leitos_por_mil_hab;cobertura_esf_perc;indice_vulnerabilidade
80074;Distrito Sintético 74;2010;25.28;1.96;66.73;0.428
80075;Distrito Sintético 75;2010;19.67;2.56;55.11;0.675
80076;Distrito Sintético 76;2010;19.08;1.6;91.37;0.334
80077;Distrito Sintético 77;2010;15.9;2.48;54.39;0.632
80078;Distrito Sintético 78;2010;15.41;2.24;86.32;0.114
80079;Distrito Sintético 79;2010;23.93;4.89;58.51;0.393
80080;Distrito Sintético 80;2010;14.53;1.66;79.16;0.284
80081;Distrito Sintético 81;2010;19.63;2.97;35.75;0.471
80082;Distrito Sintético 82;2010;18.78;1.54;85.14;0.463
80083;Distrito Sintético 83;2010;15.48;3.1;86.55;0.639
80084;Distrito Sintético 84;2010;17.93;1.73;33.36;0.23
80085;Distrito Sintético 85;2010;19.67;4.43;88.79;0.864
80086;Distrito Sintético 86;2010;15.3;1.54;38.98;0.32
80087;Distrito Sintético 87;2010;18.41;2.75;57.11;0.695
80088;Distrito Sintético 88;2010;20.82;3.99;64.92;0.796
80089;Distrito Sintético 89;2010;15.23;3.27;85.05;0.607
80090;Distrito Sintético 90;2010;19.53;1.9;50.43;0.765
80091;Distrito Sintético 91;2010;24.9;4.08;34.3;0.584
80092;Distrito Sintético 92;2010;17.7;1.62;89.28;0.223
80093;Distrito Sintético 93;2010;16.68;4.26;35.15;0.619
80094;Distrito Sintético 94;2010;15.9;0.63;37.78;0.553
80095;Distrito Sintético 95;2010;17.59;1.56;53.92;0.441
80096;Distrito Sintético 96;2010;20.63;2.88;38.88;0.648
80001;Distrito Sintético 1;2011;20.84;2.62;92.59;0.26
80002;Distrito Sintético 2;2011;17.29;3.02;91.33;0.49
80003;Distrito Sintético 3;2011;14.69;1.23;56.73;0.86
80004;Distrito Sintético 4;2011;18.96;3.26;87.53;0.281
80005;Distrito Sintético 5;2011;20.16;1.58;30.02;0.698
80006;Distrito Sintético 6;2011;13.16;4.01;57.65;0.736
80007;Distrito Sintético 7;2011;21.3;3.74;88.45;0.439
80008;Distrito Sintético 8;2011;18.69;2.58;61.33;0.64
80009;Distrito Sintético 9;2011;21.65;2.81;90.94;0.875
80010;Distrito Sintético 10;2011;21.39;3.14;66.01;0.537
80011;Distrito Sintético 11;2011;16.45;4.49;68.53;0.717
80012;Distrito Sintético 12;2011;15.86;3.89;62.53;0.466
80013;Distrito Sintético 13;2011;14.12;2.91;63.35;0.7
80014;Distrito Sintético 14;2011;18.74;1.77;58.61;0.815
80015;Distrito Sintético 15;2011;21.83;4.06;78.56;0.477
80016;Distrito Sintético 16;2011;22.24;3.64;45.96;0.391
80017;Distrito Sintético 17;2011;17.86;2.9;67.46;0.555
80018;Distrito Sintético 18;2011;15.0;4.0;50.31;0.3
80019;Distrito Sintético 19;2011;15.46;4.47;71.59;0.27
80020;Distrito Sintético 20;2011;25.0;2.15;37.82;0.882
80021;Distrito Sintético 21;2011;14.18;3.53;55.22;0.654
80022;Distrito Sintético 22;2011;20.99;2.76;50.1;0.443
80023;Distrito Sintético 23;2011;16.13;1.32;37.08;0.645
80024;Distrito Sintético 24;2011;15.96;2.95;39.97;0.461
80025;Distrito Sintético 25;2011;17.68;2.01;53.02;0.145
80026;Distrito Sintético 26;2011;16.27;0.81;94.24;0.143
80027;Distrito Sintético 27;2011;18.29;3.92;88.14;0.743
80028;Distrito Sintético 28;2011;22.96;0.72;76.93;0.361
80029;Distrito Sintético 29;2011;17.65;1.79;53.7;0.123
80030;Distrito Sintético 30;2011;17.54;0.91;57.95;0.404
80031;Distrito Sintético 31;2011;16.53;1.7;54.02;0.37
80032;Distrito Sintético 32;2011;18.59;2.99;77.24;0.292
80033;Distrito Sintético 33;2011;17.36;4.32;51.82;0.548
80034;Distrito Sintético 34;2011;22.77;2.12;51.54;0.345
80035;Distrito Sintético 35;2011;21.13;0.92;33.48;0.735
80036;Distrito Sintético 36;2011;15.55;4.57;67.43;0.715
80037;Distrito Sintético 37;2011;18.03;2.08;53.75;0.49
80038;Distrito Sintético 38;2011;19.97;4.35;79.36;0.556
80039;Distrito Sintético 39;2011;20.87;1.68;36.38;0.488
80040;Distrito Sintético 40;2011;21.81;4.63;94.4;0.286
80041;Distrito Sintético 41;2011;26.65;4.22;67.58;0.131
80042;Distrito Sintético 42;2011;19.53;1.35;39.35;0.661
80043;Distrito Sintético 43;2011;18.72;4.26;76.83;0.671
80044;Distrito Sintético 44;2011;20.59;4.69;54.44;0.152
80045;Distrito Sintético 45;2011;19.96;2.83;30.63;0.256
80046;Distrito Sintético 46;2011;20.1;0.57;50.39;0.895
80047;Distrito Sintético 47;2011;25.62;3.26;48.2;0.117
80048;Distrito Sintético 48;2011;19.15;3.77;47.5;0.373
80049;Distrito Sintético 49;2011;21.45;3.77;65.6;0.795
80050;Distrito Sintético 50;2011;19.43;2.97;45.99;0.662
80051;Distrito Sintético 51;2011;14.51;4.4;92.62;0.838
80052;Distrito Sintético 52;2011;14.16;2.96;40.77;0.829
80053;Distrito Sintético 53;2011;15.22;1.76;32.15;0.47
80054;Distrito Sintético 54;2011;23.5;4.05;45.48;0.277
80055;Distrito Sintético 55;2011;13.37;3.5;35.37;0.437
80056;Distrito Sintético 56;2011;19.82;2.13;79.91;0.263
80057;Distrito Sintético 57;2011;20.83;1.69;37.38;0.169
80058;Distrito Sintético 58;2011;16.45;1.11;70.25;0.252
80059;Distrito Sintético 59;2011;21.19;4.1;65.73;0.148
80060;Distrito Sintético 60;2011;15.2;2.35;93.89;0.307
80061;Distrito Sintético 61;2011;20.85;2.93;35.59;0.807
80062;Distrito Sintético 62;2011;15.93;0.7;66.93;0.585
80063;Distrito Sintético 63;2011;25.7;2.42;86.45;0.203
80064;Distrito Sintético 64;2011;22.1;0.81;33.49;0.61
80065;Distrito Sintético 65;2011;15.33;2.04;39.9;0.665
80066;Distrito Sintético 66;2011;20.05;2.25;86.0;0.865
80067;Distrito Sintético 67;2011;21.67;3.58;73.99;0.116
80068;Distrito Sintético 68;2011;24.1;4.87;85.98;0.428
80069;Distrito Sintético 69;2011;16.83;4.37;41.51;0.143
80070;Distrito Sintético 70;2011;18.34;1.14;89.15;0.551
80071;Distrito Sintético 71;2011;21.29;3.58;92.48;0.597
80072;Distrito Sintético 72;2011;17.39;2.45;82.38;0.123
80073;Distrito Sintético 73;2011;19.34;1.33;91.19;0.338
80074;Distrito Sintético 74;2011;23.21;2.43;80.5;0.835
80075;Distrito Sintético 75;2011;23.4;2.14;53.73;0.89
80076;Distrito Sintético 76;2011;18.52;1.05;34.75;0.873
80077;Distrito Sintético 77;2011;21.95;3.49;82.02;0.548
80078;Distrito Sintético 78;2011;14.96;3.46;47.92;0.88
80079;Distrito Sintético 79;2011;22.4;1.08;41.22;0.657
80080;Distrito Sintético 80;2011;16.82;4.15;85.02;0.365
80081;Distrito Sintético 81;2011;22.17;1.53;51.35;0.558
80082;Distrito Sintético 82;2011;15.52;3.47;65.85;0.13
80083;Distrito Sintético 83;2011;22.0;4.33;42.01;0.311
80084;Distrito Sintético 84;2011;18.51;4.89;61.29;0.38
80085;Distrito Sintético 85;2011;13.47;1.09;77.14;0.506
80086;Distrito Sintético 86;2011;15.52;1.76;69.71;0.566
80087;Distrito Sintético 87;2011;19.28;3.6;67.97;0.488
80088;Distrito Sintético 88;2011;15.0;1.83;80.94;0.859
80089;Distrito Sintético 89;2011;18.0;4.68;89.69;0.243
80090;Distrito Sintético 90;2011;21.17;3.57;57.12;0.586
80091;Distrito Sintético 91;2011;19.59;2.6;41.84;0.306
80092;Distrito Sintético 92;2011;19.26;4.5;90.09;0.227
80093;Distrito Sintético 93;2011;20.43;3.11;56.5;0.445
80094;Distrito Sintético 94;2011;16.97;1.69;74.44;0.258
80095;Distrito Sintético 95;2011;17.52;4.44;36.3;0.399
80096;Distrito Sintético 96;2011;19.22;1.75;34.21;0.657
80001;Distrito Sintético 1;2012;19.57;0.94;47.73;0.657
80002;Distrito Sintético 2;2012;18.41;1.51;72.62;0.448
80003;Distrito Sintético 3;2012;16.53;1.52;42.85;0.277
80004;Distrito Sintético 4;2012;19.6;0.75;90.86;0.532
80005;Distrito Sintético 5;2012;24.94;3.68;90.6;0.122
80006;Distrito Sintético 6;2012;16.51;1.79;74.4;0.855
80007;Distrito Sintético 7;2012;18.84;1.81;60.59;0.391
80008;Distrito Sintético 8;2012;14.61;3.8;90.48;0.742
80009;Distrito Sintético 9;2012;17.45;0.51;65.28;0.603
80010;Distrito Sintético 10;2012;14.65;3.76;61.52;0.488
80011;Distrito Sintético 11;2012;14.72;2.7;60.3;0.322
80012;Distrito Sintético 12;2012;15.95;0.52;37.98;0.576
80013;Distrito Sintético 13;2012;18.78;3.83;56.69;0.151
80014;Distrito Sintético 14;2012;17.36;3.58;89.36;0.404
80015;Distrito Sintético 15;2012;17.87;2.24;70.11;0.505
80016;Distrito Sintético 16;2012;16.38;1.19;31.55;0.419
80017;Distrito Sintético 17;2012;26.74;2.78;30.7;0.25
80018;Distrito Sintético 18;2012;17.71;4.63;64.41;0.733
80019;Distrito Sintético 19;2012;21.99;0.75;80.29;0.419
80020;Distrito Sintético 20;2012;19.35;3.77;48.58;0.709
80021;Distrito Sintético 21;2012;13.15;4.61;37.15;0.716
80022;Distrito Sintético 22;2012;18.37;3.91;73.34;0.426
80023;Distrito Sintético 23;2012;14.2;0.98;66.5;0.753
80024;Distrito Sintético 24;2012;17.85;2.43;50.27;0.379
80025;Distrito Sintético 25;2012;19.66;1.83;40.96;0.369
80026;Distrito Sintético 26;2012;18.53;0.74;82.81;0.777
80027;Distrito Sintético 27;2012;21.29;3.94;53.15;0.605
80028;Distrito Sintético 28;2012;15.04;3.99;87.68;0.385
80029;Distrito Sintético 29;2012;20.02;1.15;85.1;0.483
80030;Distrito Sintético 30;2012;21.86;2.11;89.08;0.28
80031;Distrito Sintético 31;2012;19.63;3.89;93.39;0.187
80032;Distrito Sintético 32;2012;20.68;2.29;53.04;0.282
80033;Distrito Sintético 33;2012;15.03;3.3;76.97;0.295
80034;Distrito Sintético 34;2012;22.85;3.32;71.91;0.607
80035;Distrito Sintético 35;2012;17.5;2.79;84.88;0.536
80036;Distrito Sintético 36;2012;21.17;0.57;82.82;0.322
80037;Distrito Sintético 37;2012;18.77;3.98;66.03;0.426
80038;Distrito Sintético 38;2012;18.22;2.91;69.57;0.41
80039;Distrito Sintético 39;2012;24.04;4.3;36.27;0.398
80040;Distrito Sintético 40;2012;13.8;0.94;92.14;0.298
80041;Distrito Sintético 41;2012;25.85;2.86;41.04;0.245
80042;Distrito Sintético 42;2012;19.56;2.93;90.72;0.697
80043;Distrito Sintético 43;2012;15.95;3.22;90.3;0.234
80044;Distrito Sintético 44;2012;13.56;2.24;88.87;0.397
80045;Distrito Sintético 45;2012;13.44;4.72;76.33;0.544
80046;Distrito Sintético 46;2012;15.38;1.98;54.78;0.283
80047;Distrito Sintético 47;2012;17.36;0.83;68.09;0.276
80048;Distrito Sintético 48;2012;17.88;0.81;57.13;0.303
80049;Distrito Sintético 49;2012;21.61;1.75;53.69;0.423
80050;Distrito Sintético 50;2012;18.45;3.72;72.66;0.186
80051;Distrito Sintético 51;2012;15.64;4.84;91.42;0.509
80052;Distrito Sintético 52;2012;14.14;3.19;69.29;0.67
80053;Distrito Sintético 53;2012;23.89;4.96;30.21;0.86
80054;Distrito Sintético 54;2012;19.32;0.77;83.63;0.176
80055;Distrito Sintético 55;2012;22.28;3.95;59.14;0.868
80056;Distrito Sintético 56;2012;18.48;0.87;70.04;0.473
80057;Distrito Sintético 57;2012;21.58;4.04;51.33;0.242
80058;Distrito Sintético 58;2012;24.48;1.32;52.94;0.768
80059;Distrito Sintético 59;2012;19.85;3.79;35.08;0.55
80060;Distrito Sintético 60;2012;15.39;2.63;81.18;0.16
80061;Distrito Sintético 61;2012;20.91;1.21;48.42;0.468
80062;Distrito Sintético 62;2012;16.75;3.98;59.91;0.525
80063;Distrito Sintético 63;2012;13.46;1.91;38.9;0.506
80064;Distrito Sintético 64;2012;16.02;1.15;94.74;0.433
80065;Distrito Sintético 65;2012;23.49;0.85;84.94;0.281
80066;Distrito Sintético 66;2012;21.57;2.35;52.38;0.267
80067;Distrito Sintético 67;2012;14.92;2.5;51.65;0.11
80068;Distrito Sintético 68;2012;17.46;4.33;49.69;0.689
80069;Distrito Sintético 69;2012;19.51;1.45;74.0;0.401
80070;Distrito Sintético 70;2012;22.55;4.52;42.54;0.293
80071;Distrito Sintético 71;2012;15.39;3.11;45.99;0.499
80072;Distrito Sintético 72;2012;17.21;2.67;57.36;0.5
80073;Distrito Sintético 73;2012;21.8;2.43;57.08;0.4
80074;Distrito Sintético 74;2012;11.96;2.54;84.26;0.81
80075;Distrito Sintético 75;2012;20.27;3.69;51.45;0.636
80076;Distrito Sintético 76;2012;16.94;3.13;57.74;0.77
80077;Distrito Sintético 77;2012;17.8;3.58;58.12;0.129
80078;Distrito Sintético 78;2012;21.45;3.0;52.26;0.19
80079;Distrito Sintético 79;2012;21.16;1.51;46.2;0.662
80080;Distrito Sintético 80;2012;15.07;3.01;51.59;0.157
80081;Distrito Sintético 81;2012;16.33;4.21;59.37;0.61
80082;Distrito Sintético 82;2012;15.96;3.47;55.99;0.619
80083;Distrito Sintético 83;2012;21.26;2.07;69.04;0.563
80084;Distrito Sintético 84;2012;19.21;3.15;80.2;0.864
80085;Distrito Sintético 85;2012;20.24;2.5;72.81;0.419
80086;Distrito Sintético 86;2012;22.37;0.99;65.02;0.308
80087;Distrito Sintético 87;2012;16.3;4.16;32.79;0.55
80088;Distrito Sintético 88;2012;16.45;0.86;87.77;0.461
80089;Distrito Sintético 89;2012;18.67;2.85;92.37;0.251
80090;Distrito Sintético 90;2012;15.79;4.58;58.37;0.399
80091;Distrito Sintético 91;2012;20.89;3.63;62.73;0.459
80092;Distrito Sintético 92;2012;19.1;1.77;92.17;0.713
80093;Distrito Sintético 93;2012;18.24;2.83;59.69;0.255
80094;Distrito Sintético 94;2012;13.41;1.01;44.93;0.404
80095;Distrito Sintético 95;2012;19.93;3.79;84.51;0.72
80096;Distrito Sintético 96;2012;17.91;0.58;57.28;0.467
80001;Distrito Sintético 1;2013;19.74;2.45;83.77;0.556
80002;Distrito Sintético 2;2013;15.8;1.48;45.82;0.821
80003;Distrito Sintético 3;2013;15.11;3.33;84.26;0.116
80004;Distrito Sintético 4;2013;21.59;4.27;78.1;0.737
80005;Distrito Sintético 5;2013;18.81;1.68;63.02;0.31
80006;Distrito Sintético 6;2013;15.03;2.5;60.62;0.85
80007;Distrito Sintético 7;2013;16.48;3.69;55.83;0.361
80008;Distrito Sintético 8;2013;17.78;3.95;56.85;0.721
80009;Distrito Sintético 9;2013;19.64;2.49;89.97;0.756
80010;Distrito Sintético 10;2013;14.92;1.45;91.59;0.437
80011;Distrito Sintético 11;2013;19.09;4.25;89.64;0.213
80012;Distrito Sintético 12;2013;23.56;3.86;52.44;0.597
80013;Distrito Sintético 13;2013;18.58;0.99;55.86;0.702
80014;Distrito Sintético 14;2013;20.04;2.38;53.23;0.24
80015;Distrito Sintético 15;2013;25.14;2.02;87.53;0.139
80016;Distrito Sintético 16;2013;19.18;3.46;34.07;0.748
80017;Distrito Sintético 17;2013;18.16;3.27;31.45;0.37
80018;Distrito Sintético 18;2013;14.55;2.3;43.2;0.195
80019;Distrito Sintético 19;2013;17.66;0.71;66.87;0.369
80020;Distrito Sintético 20;2013;24.83;3.61;51.66;0.311
80021;Distrito Sintético 21;2013;21.16;1.1;36.66;0.611
80022;Distrito Sintético 22;2013;16.35;3.65;80.31;0.738
80023;Distrito Sintético 23;2013;13.91;3.33;88.01;0.268
80024;Distrito Sintético 24;2013;19.23;1.29;67.58;0.217
80025;Distrito Sintético 25;2013;19.45;3.53;35.52;0.113
80026;Distrito Sintético 26;2013;21.7;1.2;87.78;0.728
80027;Distrito Sintético 27;2013;19.25;4.22;76.05;0.428
80028;Distrito Sintético 28;2013;19.6;0.63;43.15;0.444
80029;Distrito Sintético 29;2013;20.42;1.88;89.51;0.835
80030;Distrito Sintético 30;2013;17.3;4.98;64.18;0.585
80031;Distrito Sintético 31;2013;18.09;4.95;49.98;0.246
80032;Distrito Sintético 32;2013;20.18;1.95;79.87;0.79
80033;Distrito Sintético 33;2013;10.07;3.28;52.0;0.376
80034;Distrito Sintético 34;2013;22.05;1.32;92.85;0.878
80035;Distrito Sintético 35;2013;16.2;4.3;55.26;0.145
80036;Distrito Sintético 36;2013;15.42;0.9;84.86;0.656
80037;Distrito Sintético 37;2013;19.88;1.61;87.13;0.499
80038;Distrito Sintético 38;2013;18.93;4.01;76.33;0.743
80039;Distrito Sintético 39;2013;20.87;1.76;86.87;0.372
80040;Distrito Sintético 40;2013;19.55;3.2;40.18;0.124
80041;Distrito Sintético 41;2013;13.44;3.8;56.76;0.479
80042;Distrito Sintético 42;2013;14.13;3.76;54.3;0.872
80043;Distrito Sintético 43;2013;19.89;1.58;63.31;0.408
80044;Distrito Sintético 44;2013;18.56;4.18;56.44;0.818
80045;Distrito Sintético 45;2013;16.61;1.79;90.55;0.351
80046;Distrito Sintético 46;2013;19.97;3.57;91.88;0.878
80047;Distrito Sintético 47;2013;26.6;1.71;61.05;0.564
80048;Distrito Sintético 48;2013;19.66;0.87;59.27;0.839
80049;Distrito Sintético 49;2013;20.85;2.08;76.53;0.463
80050;Distrito Sintético 50;2013;19.78;1.17;53.3;0.406
80051;Distrito Sintético 51;2013;13.83;4.33;87.11;0.188
80052;Distrito Sintético 52;2013;20.59;1.65;33.05;0.247
80053;Distrito Sintético 53;2013;18.6;4.0;56.58;0.774
80054;Distrito Sintético 54;2013;24.24;3.81;91.88;0.651
80055;Distrito Sintético 55;2013;16.53;3.58;62.6;0.422
80056;Distrito Sintético 56;2013;15.83;1.03;86.61;0.607
80057;Distrito Sintético 57;2013;20.11;1.49;60.36;0.279
80058;Distrito Sintético 58;2013;21.76;1.48;79.08;0.778
80059;Distrito Sintético 59;2013;17.42;4.7;53.36;0.69
80060;Distrito Sintético 60;2013;20.53;2.05;34.55;0.853
80061;Distrito Sintético 61;2013;16.31;0.75;40.88;0.725
80062;Distrito Sintético 62;2013;20.89;4.67;43.04;0.246
80063;Distrito Sintético 63;2013;12.19;2.22;56.76;0.187
80064;Distrito Sintético 64;2013;16.02;3.53;89.3;0.254
80065;Distrito Sintético 65;2013;15.04;4.55;91.92;0.669
80066;Distrito Sintético 66;2013;14.23;3.15;37.5;0.329
80067;Distrito Sintético 67;2013;14.35;4.9;78.23;0.384
80068;Distrito Sintético 68;2013;23.51;2.07;59.17;0.565
80069;Distrito Sintético 69;2013;26.76;0.77;57.26;0.854
80070;Distrito Sintético 70;2013;15.98;1.63;73.61;0.738
80071;Distrito Sintético 71;2013;20.9;3.99;81.73;0.211
80072;Distrito Sintético 72;2013;17.22;2.12;50.63;0.772
80073;Distrito Sintético 73;2013;22.26;1.87;84.59;0.268
80074;Distrito Sintético 74;2013;15.36;5.0;45.78;0.156
80075;Distrito Sintético 75;2013;13.21;4.01;59.04;0.503
80076;Distrito Sintético 76;2013;18.42;3.46;93.72;0.338
80077;Distrito Sintético 77;2013;15.53;1.12;62.06;0.52
80078;Distrito Sintético 78;2013;22.49;4.96;83.18;0.502
80079;Distrito Sintético 79;2013;14.22;1.34;34.4;0.184
80080;Distrito Sintético 80;2013;21.08;3.11;93.78;0.897
80081;Distrito Sintético 81;2013;17.47;1.19;82.78;0.381
80082;Distrito Sintético 82;2013;16.6;1.61;81.99;0.263
80083;Distrito Sintético 83;2013;21.56;4.24;37.37;0.861
80084;Distrito Sintético 84;2013;19.19;4.87;73.85;0.287
80085;Distrito Sintético 85;2013;15.24;4.9;83.37;0.607
80086;Distrito Sintético 86;2013;18.73;2.49;88.87;0.197
80087;Distrito Sintético 87;2013;15.54;2.39;58.66;0.714
80088;Distrito Sintético 88;2013;21.89;2.51;93.17;0.825
80089;Distrito Sintético 89;2013;21.38;3.41;61.01;0.119
80090;Distrito Sintético 90;2013;19.05;3.42;94.16;0.245
80091;Distrito Sintético 91;2013;23.62;1.74;71.92;0.155
80092;Distrito Sintético 92;2013;20.58;4.25;42.45;0.723
80093;Distrito Sintético 93;2013;24.43;2.28;40.24;0.534
80094;Distrito Sintético 94;2013;12.23;1.14;86.41;0.566
80095;Distrito Sintético 95;2013;20.41;2.28;43.44;0.462
80096;Distrito Sintético 96;2013;21.36;3.26;86.26;0.681
80001;Distrito Sintético 1;2014;22.57;2.72;55.77;0.335
80002;Distrito Sintético 2;2014;20.05;4.26;71.67;0.155
80003;Distrito Sintético 3;2014;28.76;0.71;92.95;0.34
80004;Distrito Sintético 4;2014;13.86;4.01;32.36;0.656
80005;Distrito Sintético 5;2014;16.81;1.09;50.67;0.217
80006;Distrito Sintético 6;2014;20.65;1.28;58.75;0.464
80007;Distrito Sintético 7;2014;22.17;1.52;90.43;0.677
80008;Distrito Sintético 8;2014;21.2;0.81;70.41;0.551
80009;Distrito Sintético 9;2014;19.28;2.57;40.24;0.316
80010;Distrito Sintético 10;2014;14.94;3.44;87.33;0.68
80011;Distrito Sintético 11;2014;18.15;3.14;76.08;0.46
80012;Distrito Sintético 12;2014;23.26;3.71;84.74;0.447
80013;Distrito Sintético 13;2014;17.44;3.97;51.43;0.806
80014;Distrito Sintético 14;2014;22.85;3.93;33.56;0.322
80015;Distrito Sintético 15;2014;22.59;3.86;86.11;0.223
80016;Distrito Sintético 16;2014;23.54;4.81;47.15;0.649
80017;Distrito Sintético 17;2014;17.72;0.97;50.91;0.303
80018;Distrito Sintético 18;2014;19.96;0.77;44.09;0.64
80019;Distrito Sintético 19;2014;17.67;2.14;80.12;0.548
80020;Distrito Sintético 20;2014;22.34;1.8;45.39;0.853
80021;Distrito Sintético 21;2014;18.05;4.37;54.36;0.477
80022;Distrito Sintético 22;2014;19.44;2.27;58.01;0.559
80023;Distrito Sintético 23;2014;14.35;3.3;53.85;0.671
80024;Distrito Sintético 24;2014;16.5;0.93;60.07;0.666
80025;Distrito Sintético 25;2014;23.29;3.89;88.39;0.18
80026;Distrito Sintético 26;2014;20.02;4.33;60.4;0.558
80027;Distrito Sintético 27;2014;17.57;2.67;37.08;0.894
80028;Distrito Sintético 28;2014;16.86;4.28;67.0;0.815
80029;Distrito Sintético 29;2014;24.11;3.03;39.49;0.373
80030;Distrito Sintético 30;2014;16.75;2.92;60.43;0.357
80031;Distrito Sintético 31;2014;21.02;4.58;47.61;0.243
80032;Distrito Sintético 32;2014;18.45;1.2;94.05;0.843
80033;Distrito Sintético 33;2014;20.1;3.99;70.67;0.868
80034;Distrito Sintético 34;2014;18.17;3.39;92.44;0.664
80035;Distrito Sintético 35;2014;20.0;3.09;89.45;0.188
80036;Distrito Sintético 36;2014;17.6;1.38;45.75;0.226
